question,mode,latency_ms,cpu_time_sec,mem_bytes,rouge_l,retrieval_precision
Were Scott Derrickson and Ed Wood of the same nationality?,nexus-dynamic,8683.3825,-1,-1,0.0,0.0
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,nexus-dynamic,32082.8522,-1,-1,0.0,0.0
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",nexus-dynamic,10058.2956,-1,-1,0.013793,0.0
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,nexus-dynamic,6751.5063,-1,-1,0.0,0.0
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",nexus-dynamic,9066.589,-1,-1,0.048387,0.0
2014 S/S is the debut album of a South Korean boy group that was formed by who?,nexus-dynamic,7464.4257,-1,-1,0.044444,0.0
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,nexus-dynamic,11466.5658,-1,-1,0.023952,0.0
The arena where the Lewiston Maineiacs played their home games can seat how many people?,nexus-dynamic,8797.415,-1,-1,0.019048,0.0
"Who is older, Annie Morton or Terry Richardson?",nexus-dynamic,3619.6881,-1,-1,0.129032,0.0
Are Local H and For Against both from the United States?,nexus-dynamic,8036.3444,-1,-1,0.0,0.0
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",nexus-dynamic,3309.6974,-1,-1,0.078431,0.0
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",nexus-dynamic,5560.2098,-1,-1,0.0,0.0
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,nexus-dynamic,10159.9967,-1,-1,0.0,0.0
Are Random House Tower and 888 7th Avenue both used for real estate?,nexus-dynamic,15079.5182,-1,-1,0.0,0.0
The football manager who recruited David Beckham managed Manchester United during what timeframe?,nexus-dynamic,5985.5519,-1,-1,0.034483,0.0
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,nexus-dynamic,9089.052,-1,-1,0.0,0.0
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,nexus-dynamic,7861.8432,-1,-1,0.045455,0.0
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,nexus-dynamic,7701.5802,-1,-1,0.024691,0.0
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,nexus-dynamic,9714.5919,-1,-1,0.040816,0.0
"Which writer was from England, Henry Roth or Robert Erskine Childers?",nexus-dynamic,7934.597,-1,-1,0.076923,0.0
Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,nexus-dynamic,10896.2475,-1,-1,0.0,0.0
This singer of A Rather Blustery Day also voiced what hedgehog?,nexus-dynamic,8003.309,-1,-1,0.014286,0.0
"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",nexus-dynamic,13055.7245,-1,-1,0.008621,0.0
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",nexus-dynamic,11873.461,-1,-1,0.04,0.0
What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,nexus-dynamic,9211.0029,-1,-1,0.035714,0.0
Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,nexus-dynamic,10545.8694,-1,-1,0.031496,0.0
"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",nexus-dynamic,2982.5511,-1,-1,0.0,0.0
"Are both Dictyosperma, and Huernia described as a genus?",nexus-dynamic,6871.7885,-1,-1,0.021277,0.0
Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,nexus-dynamic,9311.5109,-1,-1,0.037267,0.0
"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",nexus-dynamic,3448.0518,-1,-1,0.036364,0.0
"When was Poison's album ""Shut Up, Make Love"" released?",nexus-dynamic,2871.2746,-1,-1,0.0,0.0
"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?",nexus-dynamic,2289.0837,-1,-1,0.0,0.0
Which  French ace pilot and adventurer fly L'Oiseau Blanc,nexus-dynamic,6839.586,-1,-1,0.0,0.0
Are Freakonomics and In the Realm of the Hackers both American documentaries?,nexus-dynamic,9594.7162,-1,-1,0.0,0.0
"Which band, Letters to Cleo or Screaming Trees, had more members?",nexus-dynamic,9381.631,-1,-1,0.043165,0.0
Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,nexus-dynamic,14928.4956,-1,-1,0.018349,0.0
Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,nexus-dynamic,3029.3346,-1,-1,0.0,0.0
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",nexus-dynamic,3708.1694,-1,-1,0.068966,0.0
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,nexus-dynamic,5694.9147,-1,-1,0.022472,0.0
Ralph Hefferline was a psychology professor at a university that is located in what city?,nexus-dynamic,2490.2725,-1,-1,0.055556,0.0
Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,nexus-dynamic,11047.2496,-1,-1,0.023669,0.0
